IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
185.209.178.25  | 3DCRUEvwWRBrRMgxWkf7dqeSFa1cs2FwEjFo33huYrEB | 8800   | 8803  | 8809     | none                  | 2.3.9   | 2142755730
95.179.209.177  | ECNnK4VjcKTsABiw8FAp3JCE6tCmYyrEJthYVyMazmxi | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
67.213.121.17   | bxrAptB5ZpZBhoLedJpoGWY5hBjjt3zvVBr2323Rrq6  | 8000   | 11222 | 11228    | none                  | 3.0.10  | 3604001754
45.139.132.236  | 3x9nibnhgBHWKMRiGnsXJELRBjviQpKyigfrXtKW27KJ | 8001   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
78.141.223.41   | BirdeyeK5yooepHNNgaW2bGGDD2jmib4oSRFTHyELbZ1 | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
195.189.98.82   | ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY | 9000   | 9003  | 9009     | none                  | 3.0.10  | 3604001754
213.111.138.67  | 3Pfubj3ytkRxFAGwFb5vtacuZJUxko5Du39xie9MBXuC | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
212.20.238.52   | 8pyp3vfVPRziYdAYEyqkwytdBbdVbQmHqfQAVDcRV3w  | 8001   | 11222 | 11228    | none                  | 3.0.10  | 3604001754
148.113.187.45  | 8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7 | 8001   | 8023  | 8029     | none                  | 3.0.10  | 3604001754
64.130.42.22    | 29r4yNFTEczzMxLN39jPj59dZZjLZdr5p1HyjQC5Wvnu | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
84.32.186.148   | FGj2F187dqKfCQLfa4NvRPhiTeXwm8LZDCq4q4z5g6ai | 8401   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
91.209.71.15    | DtY5Bzxd75iWQRvKwM2xLUxqwLT1RRoeNwmVvgS2JANA | 8010   | 5004  | 5010     | none                  | 3.0.10  | 3604001754
74.118.143.206  | 76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ | 8001   | 11222 | 11228    | none                  | 3.0.6   | 3604001754
2.57.215.101    | tcrkE5QNG87Zbexm6fdWMbn7A5MjLC4ML7i1JfHF7cj  | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
64.130.52.115   | EBk678aQvc3cUkfGyoehfw21JQfJXjmWuBeopYc89RSV | 8000   | 8003  | 8009     | none                  | 3.0.9   | 3604001754
177.54.154.235  | phz1CRbEsCtFCh2Ro5tjyu588VU1WPMwW9BJS9yFNn2  | 8001   | 9001  | 9007     | 177.54.154.235:18899  | 0.713.30008| 3604001754
64.130.47.136   | FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a | 8000   | 8003  | 8009     | 64.130.47.136:8899    | 3.0.6   | 3604001754
92.204.243.211  | BCS95L5JHBWHvWkcEJBEF3BH5QHxKcPeaTgoYmHLvfFh | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
23.92.67.234    | eKV6p4xW86Ryc3r93WYLEHhHne7Zzn3upT8R2cxshrk  | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
198.244.253.130 | SyndicAgdEphcy5xhAKZAomTYhcF8xhC7za2UD9xeug  | 8001   | 8004  | 8010     | none                  | 3.0.10  | 3604001754
162.19.142.214  | 9LRrEVkR8EttTFbkx3Qmf4xJ2Va3Gs7UhFdZtnNkXGqB | 8001   | 8004  | 8010     | none                  | 3.0.8   | 3604001754
